Ticker,Right,Stock Price,Strike,Expiry Date,Interest Rate,Implied Volatility,Option Price,Delta,Gamma,Vega,Rho,Theta
MNDO,C,1.8700000047683716,2.5,20240517,0.05335,0.6836,0.2144334303327815,0.44517695463390783,0.40561887454953277,0.005631789600393698,0.0035897552086176384,-0.003643903683560971
SIG,C,74.94000244140625,65.0,20240419,0.05335,0.5207999999999999,16.50670861113265,0.6269802550886611,0.013661126456621094,0.2014233670136398,0.15364853576466364,-0.1203067655760313
,,,,,,,,,,,,
BZH,C,23.670000076293945,20.0,20240517,0.05335,0.6409,6.480056395103457,0.6476697985854207,0.03211461372363317,0.06697804846485217,0.05140441125499365,-0.04167463421896586
,,,,,,,,,,,,
TK,C,6.71999979019165,5.0,20240419,0.05335,0.5801,2.041459081863495,0.6909657485942631,0.12729005510739336,0.016809733085291746,0.013116077563956188,-0.011059908283100358
MOMO,C,7.190000057220459,6.0,20240419,0.05335,0.5801,1.8055143464718069,0.6398961603057338,0.1263447443899326,0.019100414535232983,0.014091572362313677,-0.012481136558901753
KT,C,12.279999732971191,15.0,20240419,0.05335,0.5879,1.235639231636001,0.4586071254159584,0.07741046198715155,0.03459591272208801,0.022160940571670153,-0.02251842649085367
GGB,C,4.440000057220459,3.0,20240315,0.05335,0.9081999999999999,1.6569287601763196,0.6589362421791576,0.14238834629410052,0.010406754250658649,0.005179273444596229,-0.01225327376090641
,,,,,,,,,,,,
TPH,C,26.170000076293945,22.5,20240419,0.05335,0.5042,5.7741437481602755,0.6334024681874943,0.04017990593783911,0.0699429850647281,0.05445391222586699,-0.04074063100274349
JAKK,C,18.040000915527344,17.5,20240419,0.05335,0.8084,4.411952963836273,0.5772973931949336,0.037803240520516854,0.05013642963924055,0.030259140465190845,-0.0434022095188023
,,,,,,,,,,,,
CNHI,C,11.979999542236328,10.0,20240315,0.05335,0.5820000000000001,2.789256689956753,0.6171974678190133,0.08566105044072368,0.029208777957976297,0.018797548907005003,-0.0232781900757405
ENVA,C,50.22999954223633,50.0,20240315,0.05335,0.4607,6.420931141740585,0.5384970582900069,0.026856761214840305,0.1274358448378533,0.08420653703012737,-0.08291444259912238
TMHC,C,41.189998626708984,30.0,20240419,0.05335,0.6187,13.187713708308138,0.6933492243816047,0.019405165101544185,0.1026847550962641,0.07748839835866253,-0.07121375157681706
HSII,C,25.649999618530273,30.0,20240419,0.05335,0.5981000000000001,3.040255401629496,0.481255918987559,0.036585307303232346,0.07257385526118626,0.04690214815272046,-0.048016228109940044
HCC,C,49.529998779296875,45.0,20240419,0.05335,0.5093,9.718899605510394,0.6034751266646317,0.0215208593927805,0.13554855098040774,0.1016850677643992,-0.07923343999142883
PBF,C,48.689998626708984,42.0,20240419,0.05335,0.368,9.219512486801843,0.6564944147665258,0.028914009079455433,0.12716295600389813,0.11466073256598698,-0.05854904296356587
MT,C,23.34000015258789,21.0,20240315,0.05335,0.4155,3.8269325280697206,0.59875583103022,0.06240305824621739,0.05765965178080796,0.04142619918551334,-0.0347579955715681
,,,,,,,,,,,,
,,,,,,,,,,,,
VIPS,C,15.359999656677246,13.0,20240517,0.05335,0.5317000000000001,3.7925922228038917,0.6558650056911338,0.059139504868926364,0.043089331159659953,0.03648429414687592,-0.02307374320876874
X,C,33.20000076293945,29.0,20240419,0.05335,0.37310000000000004,6.100552368478249,0.6462952001658173,0.04227590848270279,0.08764342562956429,0.07741333078631295,-0.04062585337367082
,,,,,,,,,,,,
AAP,C,54.68000030517578,50.0,20240315,0.05335,0.5815,10.53985488571746,0.5785058417607775,0.019255990276179698,0.13666773522643877,0.0861050373432292,-0.10859325122256476
HMC,C,33.77000045776367,30.0,20240419,0.05335,0.3506,5.735669123706831,0.6394286649516286,0.04452869245122886,0.08975092763029509,0.07994087786117006,-0.039670309556150626
BXC,C,75.27999877929688,60.0,20240517,0.05335,0.6118,22.030500190366897,0.6760275398081242,0.010240569138472632,0.20622236821631293,0.16763015513440738,-0.12400787402374353
UMC,C,7.340000152587891,6.0,20240419,0.05335,0.3232,1.5511504245060097,0.7121755812396496,0.20250846135312456,0.017775900983856337,0.018532169722878893,-0.0076595981065378915
FF,C,6.889999866485596,5.0,20240517,0.05335,0.6231,2.3226692611934268,0.7149747325523226,0.10376725934489367,0.017827872571030374,0.015121736677647173,-0.010951753293437743
RYI,C,28.219999313354492,30.0,20240315,0.05335,0.5195000000000001,3.2525543191222894,0.5077013328061752,0.0425833555986708,0.07191721065378479,0.04520936341546612,-0.051669338771949916
BCC,C,95.4000015258789,85.0,20240419,0.05335,0.44530000000000003,18.132242398085033,0.6204318673514243,0.012619201323473534,0.2578138747351531,0.20697206574481736,-0.1357724994826237
CRWS,C,4.329999923706055,5.0,20240315,0.05335,0.6231,0.47845363050975376,0.4824787269697863,0.2312057324298202,0.01102619148250852,0.006575101475299261,-0.00927440900221612
IVZ,C,13.4399995803833,14.0,20240419,0.05335,0.32420000000000004,1.1476734436290368,0.5109762362020754,0.12890533812264476,0.038054619313836816,0.028834296986255784,-0.015288270055821949
NOAH,C,11.6899995803833,10.0,20240315,0.05335,0.5571,2.535867958772271,0.6089987086774773,0.09227606258077155,0.028677719230095607,0.018710018543235347,-0.02201356198658409
CAAS,C,3.4100000858306885,2.5,20240517,0.05335,1.0312999999999999,1.4133552053908893,0.684582104243892,0.13261832842711502,0.009237199931433807,0.005349775444215189,-0.008692118031020487
